14D,20190506,0.295,0.3,0.295,0.295,73715
1AD,20190506,0.185,0.185,0.185,0.185,55374
3DP,20190506,0.048,0.048,0.047,0.047,567811
3PL,20190506,1.01,1.085,1,1.085,12718
4DS,20190506,0.076,0.076,0.071,0.072,1829082
5GN,20190506,1.12,1.13,1.03,1.03,730578
88E,20190506,0.014,0.014,0.013,0.013,2621139
8CO,20190506,0.165,0.175,0.155,0.17,430368
9SP,20190506,0.017,0.017,0.017,0.017,16000
A1G,20190506,0.185,0.185,0.18,0.18,57900
A2B,20190506,1.95,1.99,1.95,1.99,46498
A2M,20190506,15.32,15.32,14.93,15.05,2506609
A3D,20190506,0.335,0.34,0.33,0.335,313564
A40,20190506,0.18,0.185,0.175,0.175,1741077
A4N,20190506,0.105,0.105,0.105,0.105,50000
AAA,20190506,50.08,50.09,50.08,50.09,89214
AAC,20190506,1.16,1.16,1.14,1.14,192715
AAR,20190506,0.077,0.08,0.074,0.08,333789
AB1,20190506,0.15,0.152,0.145,0.15,1050068
ABA,20190506,4.89,4.89,4.81,4.82,42807
ABC,20190506,4.39,4.41,4.26,4.3,1300332
ABL,20190506,0.004,0.004,0.004,0.004,3550
ABP,20190506,3.67,3.72,3.63,3.64,433653
ABR,20190506,0.205,0.225,0.2,0.215,1096214
ABT,20190506,0.08,0.081,0.08,0.081,14575
ABV,20190506,0.008,0.008,0.007,0.007,451282
ABX,20190506,0.1,0.1,0.1,0.1,15000
AC8,20190506,0.37,0.37,0.36,0.36,652557
ACF,20190506,0.36,0.36,0.35,0.355,187960
ACQ,20190506,1.03,1.03,0.995,0.995,273401
ACR,20190506,0.23,0.23,0.222,0.23,313891
AD8,20190506,6.75,6.75,6.6,6.6,368780
ADA,20190506,0.68,0.685,0.67,0.67,55617
ADD,20190506,0.003,0.003,0.003,0.003,4263
ADH,20190506,1.79,1.8,1.72,1.75,970197
ADI,20190506,2.81,2.84,2.81,2.82,25634
ADJ,20190506,0.026,0.027,0.025,0.025,1303767
ADN,20190506,0.005,0.007,0.005,0.007,24777047
ADO,20190506,0.017,0.018,0.017,0.018,1229755
ADR,20190506,0.03,0.031,0.03,0.031,61000
ADT,20190506,0.865,0.865,0.79,0.815,600830
ADV,20190506,0.003,0.003,0.003,0.003,3558960
AEE,20190506,0.01,0.01,0.009,0.009,3237645
AEF,20190506,1.93,1.975,1.91,1.91,63441
AEG,20190506,0.965,0.965,0.955,0.955,118494
AEI,20190506,0.265,0.275,0.255,0.26,119047
AER,20190506,0.125,0.125,0.12,0.12,14200
AFA,20190506,0.11,0.11,0.11,0.11,60000
AFG,20190506,1.19,1.19,1.17,1.19,66631
AFI,20190506,5.99,5.99,5.95,5.95,297976
AFR,20190506,0.016,0.017,0.016,0.017,574850
AGD,20190506,0.07,0.07,0.07,0.07,6202
AGG,20190506,3.28,3.34,3.22,3.31,21932
AGH,20190506,0.555,0.58,0.54,0.555,409854
AGI,20190506,0.83,0.84,0.825,0.84,27472
AGL,20190506,21.91,22.14,21.83,22.11,1086880
AGM,20190506,1.85,1.85,1.85,1.85,41351
AGR,20190506,0.17,0.17,0.165,0.165,73385
AGS,20190506,0.095,0.095,0.094,0.094,236885
AGY,20190506,0.075,0.075,0.069,0.07,3439543
AHF,20190506,0.155,0.155,0.15,0.15,222397
AHG,20190506,2.46,2.5,2.4,2.43,742434
AHQ,20190506,0.085,0.085,0.083,0.084,199525
AHX,20190506,0.47,0.47,0.47,0.47,62965
AHY,20190506,0.93,0.93,0.89,0.89,219773
AIA,20190506,7.57,7.78,7.55,7.6,74896
AIS,20190506,0.115,0.12,0.11,0.12,319595
AIY,20190506,0.06,0.06,0.057,0.057,141467
AIZ,20190506,2.63,2.67,2.6,2.62,154291
AJL,20190506,0.13,0.13,0.13,0.13,18000
AJM,20190506,0.13,0.13,0.115,0.125,6256566
AJQ,20190506,0.091,0.091,0.091,0.091,131947
AJX,20190506,0.16,0.16,0.15,0.15,518012
AKG,20190506,0.385,0.385,0.38,0.38,152895
AKN,20190506,0.001,0.001,0.001,0.001,20000
AKP,20190506,20.01,20.01,19.43,19.78,4709
ALC,20190506,0.095,0.105,0.095,0.096,9626074
ALF,20190506,0.89,0.89,0.885,0.885,592699
ALG,20190506,1.24,1.25,1.21,1.225,453990
ALI,20190506,2.12,2.13,2.1,2.12,50892
ALK,20190506,0.235,0.235,0.227,0.23,575552
ALL,20190506,25.9,25.96,25.48,25.58,884664
ALQ,20190506,7.94,8,7.79,7.84,1439534
ALU,20190506,33.02,33.155,32.02,32.12,591545
ALX,20190506,7.1,7.17,7.06,7.1,1925123
ALY,20190506,0.015,0.015,0.015,0.015,50000
AMA,20190506,1.2,1.2,1.155,1.195,748632
AMC,20190506,16.46,16.57,16.355,16.4,7015719
AMD,20190506,0.013,0.013,0.012,0.012,76923
AME,20190506,0.039,0.039,0.035,0.036,789477
AMG,20190506,0.13,0.13,0.115,0.115,496362
AMH,20190506,0.86,0.86,0.85,0.85,219182
AMI,20190506,0.6,0.65,0.585,0.65,9417879
AML,20190506,0.22,0.225,0.22,0.225,91549
AMN,20190506,0.55,0.57,0.55,0.57,4000
AMP,20190506,2.25,2.26,2.205,2.21,7889662
AMS,20190506,0.985,0.985,0.925,0.925,59638
ANG,20190506,0.18,0.18,0.175,0.18,29742
ANN,20190506,26.9,27.17,26.71,26.85,360754
ANO,20190506,4.45,4.46,4.35,4.36,28442
ANP,20190506,0.051,0.051,0.047,0.047,1140980
ANR,20190506,0.44,0.44,0.41,0.43,40000
